"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Create Book API Testing","User creates a book with additional parameter","0","0","0","1","0"
"","Create Book API Testing","User creates a book with valid data","0","0","1","0","0"
"","Update Book API Testing","Admin updates the book with non-existing id","0","0","1","0","0"
"","Delete Book API Testing","Admin deletes a book with an incorrect ID","0","0","1","0","0"
"","Create Book API Testing","User creates a book without title","1","0","0","0","0"
"","Create Book API Testing","User creates a book without author","1","0","0","0","0"
"","Delete Book API Testing","User tries to delete a book","1","0","0","0","0"
"","Update Book API Testing","User updates the details of a book","0","0","1","0","0"
"","Delete Book API Testing","Admin deletes a book with an invalid ID","1","0","0","0","0"
"","Update Book API Testing","Admin updates the book with missing mandatory fields","1","0","0","0","0"
"","Create Book API Testing","User creates a book with an empty author and title","0","0","0","1","0"
"","Update Book API Testing","Admin updates the details of a book","1","0","0","0","0"
"","Create Book API Testing","User creates a book with a duplicate title","0","0","0","1","0"
"","Create Book API Testing","Un Authenticated Request to create book","0","0","1","0","0"
"","remove product from cart","Remove a product from the cart","0","0","1","0","0"
"","Delete Book API Testing","Admin deletes a book with a valid ID","1","0","0","0","0"
"","Add product to cart","Add a single product to the cart","0","0","1","0","0"
"","Create Book API Testing","Admin creates a book without author","0","0","1","0","0"
